class,feature,coefficient,abs_coefficient
0.0,ai_not_tested,1.4279130931657047,1.4279130931657047
0.0,rights_violation,1.3487894901274375,1.3487894901274375
0.0,detrimental_content,-1.0275974364436877,1.0275974364436877
0.0,sector_of_deployment_financial_and_insurance_activities,1.0125079895790812,1.0125079895790812
0.0,tech_analytics,0.8683189575134744,0.8683189575134744
0.0,sector_of_deployment_education,-0.8659591744698557,0.8659591744698557
0.0,risk_subdomain_5.1_overreliance_and_unsafe_use,-0.8520524161864513,0.8520524161864513
0.0,sector_of_deployment_arts,-0.8326384654901516,0.8326384654901516
0.0,sector_of_deployment_entertainment_and_recreation,-0.8326384654901516,0.8326384654901516
0.0,sector_of_deployment_transportation_and_storage,0.8199187529644175,0.8199187529644175
0.0,designed_to_harm,0.7380764235471095,0.7380764235471095
0.0,sector_of_deployment_public_administration,0.7341757382461357,0.7341757382461357
0.0,harm_distribution_basis_race,-0.6122697030133925,0.6122697030133925
0.0,autonomy_level_encoded,-0.5493925683636683,0.5493925683636683
0.0,risk_subdomain_1.1_discrimination_and_misrepresentation,-0.5481399020792864,0.5481399020792864
0.0,sector_of_deployment_information_and_communication,-0.5463700658401359,0.5463700658401359
0.0,sector_of_deployment_law_enforcement,0.5345427021137195,0.5345427021137195
0.0,harm_distribution_basis_sex,-0.5314182101763528,0.5314182101763528
0.0,sector_of_deployment_manufacturing,-0.49527910266353276,0.49527910266353276
0.0,deployed,-0.48362901761148946,0.48362901761148946
0.0,not_study_or_research,-0.4753747698652366,0.4753747698652366
0.0,harm_distribution_basis_disability,-0.47132532107492603,0.47132532107492603
0.0,harm_distribution_basis_financial_means,0.4535897279863678,0.4535897279863678
0.0,multiple_ai_interaction,-0.45068336750828825,0.45068336750828825
0.0,tech_robo_auto,0.43325481918515785,0.43325481918515785
0.0,sector_of_deployment_professional,-0.41363363269867653,0.41363363269867653
0.0,sector_of_deployment_scientific_and_technical_activities,-0.41363363269867653,0.41363363269867653
0.0,sector_of_deployment_accommodation_and_food_service_activities,0.4085003653781998,0.4085003653781998
0.0,risk_subdomain_2.1_compromise_on_pii,0.4050928871200052,0.4050928871200052
0.0,risk_subdomain_7.3_lack_capability_robustness,0.400280581158939,0.400280581158939
0.0,public_sector_deployment,-0.3836638482108287,0.3836638482108287
0.0,impact_on_critical_services,0.36108339117926835,0.36108339117926835
0.0,infrastructure_sectors_has_value,-0.31682981740628513,0.31682981740628513
0.0,sector_of_deployment_defense,0.2976311437432845,0.2976311437432845
0.0,tech_vision,0.2933010452614525,0.2933010452614525
0.0,risk_subdomain_6.2_inequality_and_decline_in_employment_quality,0.28658347248874616,0.28658347248874616
0.0,harm_distribution_basis_sexual_orientation_or_gender_identity,-0.2840485620535557,0.2840485620535557
0.0,risk_subdomain_1.3_unequal_performance,-0.28281349628479646,0.28281349628479646
0.0,tech_nlp,0.27817909677208946,0.27817909677208946
0.0,risk_subdomain_3.1_false_or_misleading_information,-0.2763439205168624,0.2763439205168624
0.0,physical_objects,0.27563493916887377,0.27563493916887377
0.0,sector_of_deployment_real_estate_activities,0.24675268255753044,0.24675268255753044
0.0,harm_distribution_basis_geography,-0.24656304948016633,0.24656304948016633
0.0,risk_subdomain_6.1_power_centralization_and_unfair_distribution_of_benefits,0.21681599783512517,0.21681599783512517
0.0,risk_subdomain_4.1_disinformation_surveillance_and_influence,-0.2122369528990697,0.2122369528990697
0.0,harm_distribution_basis_age,-0.2050666177372643,0.2050666177372643
0.0,risk_subdomain_4.3_fraudulent_or_manipulation,0.1726136482771095,0.1726136482771095
0.0,involving_minor,-0.16942997328198903,0.16942997328198903
0.0,sector_of_deployment_wholesale_and_retail_trade,-0.16240701069470131,0.16240701069470131
0.0,risk_subdomain_2.2_security_vulnerabilities_expliotation,-0.1537231452628502,0.1537231452628502
0.0,sector_of_deployment_administrative_and_support_service_activities,-0.1438182427264147,0.1438182427264147
0.0,harm_distribution_basis_familial_status,-0.1341038867742694,0.1341038867742694
0.0,harm_distribution_basis_nationality,0.11811216466156552,0.11811216466156552
0.0,risk_subdomain_1.2_toxic_content,-0.06479190134554358,0.06479190134554358
0.0,risk_subdomain_4.2_cyberattacks_weapon_development_or_mass_harm,0.06335187734241583,0.06335187734241583
0.0,harm_distribution_basis_religion,0.04272713037871574,0.04272713037871574
0.0,harm_distribution_basis_ideology,-0.03760231688888591,0.03760231688888591
0.0,protected_characteristic,-0.02246005686124008,0.02246005686124008
0.0,sector_of_deployment_human_health_and_social_work_activities,-0.01655351671886729,0.01655351671886729
0.0,sector_of_deployment_other,0.011392329069630136,0.011392329069630136
0.0,harm_distribution_basis_other,0.010889530911413236,0.010889530911413236
0.0,risk_subdomain_7.1_ai_goals_conflict_with_human_goals,0.0,0.0
0.0,risk_subdomain_7.4_lack_transparency_interpretability,0.0,0.0
0.0,sector_of_deployment_other_service_activities,0.0,0.0
